County,Region,State
GLASSCOCK,Central Texas,TX
GOLIAD,Central Texas,TX
GONZALES,Central Texas,TX
GRAY,Central Texas,TX
GRAYSON,North Texas,TX
GREGG,East Texas,TX
GRIMES,Central Texas,TX
GUADALUPE,Alamo,TX
HALE,Central Texas,TX
HALL,Central Texas,TX
HAMILTON,Central Texas,TX
HANSFORD,Central Texas,TX
HARDEMAN,Central Texas,TX
HARDIN,Central Texas,TX
HARRIS,Gulf Coast,TX
HARRISON,Central Texas,TX
HARTLEY,Central Texas,TX
HASKELL,Central Texas,TX
HAYS,Capital,TX
HEMPHILL,Central Texas,TX
HENDERSON,East Texas,TX
HIDALGO,South Texas,TX
HILL,Central Texas,TX
HOCKLEY,Central Texas,TX
HOOD,Central Texas,TX
HOPKINS,Central Texas,TX
HOUSTON,Central Texas,TX
HOWARD,Central Texas,TX
HUDSPETH,Central Texas,TX
HUNT,North Texas,TX
HUTCHINSON,Central Texas,TX
IRION,Central Texas,TX
JACK,West Texas,TX
JACKSON,West Texas,TX
JASPER,West Texas,TX
JEFF DAVIS,West Texas,TX
JEFFERSON,South East Texas,TX
JIM HOGG,West Texas,TX
JIM WELLS,West Texas,TX
JOHNSON,Metroplex,TX
JONES,West Texas,TX
KARNES,West Texas,TX
KAUFMAN,Metroplex,TX
KENDALL,West Texas,TX
KENEDY,West Texas,TX
KENT,West Texas,TX
KERR,West Texas,TX
KIMBLE,West Texas,TX
KING,West Texas,TX
KINNEY,West Texas,TX
KLEBERG,West Texas,TX
KNOX,West Texas,TX
LAMAR,West Texas,TX
LAMB,West Texas,TX
LAMPASAS,West Texas,TX
LASALLE,West Texas,TX
LAVACA,West Texas,TX
LEE,West Texas,TX
LEON,West Texas,TX
LIBERTY,Gulf Coast,TX
LIMESTONE,West Texas,TX
LIPSCOMB,West Texas,TX
LIVE OAK,West Texas,TX
LLANO,West Texas,TX
LOVING,West Texas,TX
LUBBOCK,High Plains,TX
LYNN,West Texas,TX
MADISON,West Texas,TX
MARION,West Texas,TX
MARTIN,West Texas,TX
MASON,West Texas,TX
MATAGORDA,West Texas,TX
MAVERICK,West Texas,TX
MCCULLOCH,West Texas,TX
MCLENNAN,West Texas,TX
MCMULLEN,West Texas,TX
MEDINA,West Texas,TX
MENARD,West Texas,TX
MIDLAND,Permian Basin,TX
MILAM,West Texas,TX
MILLS,West Texas,TX
MITCHELL,West Texas,TX
MONTAGUE,West Texas,TX
MONTGOMERY,Gulf Coast,TX
MOORE,West Texas,TX
MORRIS,West Texas,TX
MOTLEY,West Texas,TX
NACOGDOCHES,South Texas,TX
NAVARRO,South Texas,TX
NEWTON,South Texas,TX
NOLAN,South Texas,TX
NUECES,Coastal Bend,TX
OCHILTREE,South Texas,TX
OLDHAM,South Texas,TX
ORANGE,South East Texas,TX
PALO PINTO,South Texas,TX
PANOLA,South Texas,TX
PARKER,Metroplex,TX
PARMER,South Texas,TX
PECOS,South Texas,TX
POLK,South Texas,TX
POTTER,High Plains,TX
PRESIDIO,South Texas,TX
RAINS,South Texas,TX
RANDALL,High Plains,TX
REAGAN,South Texas,TX
REAL,South Texas,TX
RED RIVER,South Texas,TX
REEVES,South Texas,TX
REFUGIO,South Texas,TX
ROBERTS,South Texas,TX
ROBERTSON,South Texas,TX
ROCKWALL,Metroplex,TX
RUNNELS,South Texas,TX
RUSK,South Texas,TX
SABINE,South Texas,TX
SAN AUGUSTINE,South Texas,TX
SAN JACINTO,South Texas,TX
SAN PATRICIO,South Texas,TX
SAN SABA,South Texas,TX
SCHLEICHER,South Texas,TX
SCURRY,South Texas,TX
SHACKELFORD,South Texas,TX
SHELBY,South Texas,TX
SHERMAN,South Texas,TX
SMITH,East Texas,TX
SOMERVELL,South Texas,TX
STARR,South Texas,TX
STEPHENS,South Texas,TX
STERLING,South Texas,TX
STONEWALL,South Texas,TX
SUTTON,South Texas,TX
SWISHER,South Texas,TX
TARRANT,Metroplex,TX
TAYLOR,West Texas,TX
TERRELL,South Texas,TX
TERRY,South Texas,TX
THROCKMORTON,South Texas,TX
TITUS,North East Texas,TX
TOM GREEN,Concho Valley,TX
TRAVIS,Capital,TX
TRINITY,South Texas,TX
TYLER,South Texas,TX
UPSHUR,South Texas,TX
UPTON,South Texas,TX
UVALDE,South Texas,TX
VAL VERDE,South Texas,TX
VAN ZANDT,South Texas,TX
VICTORIA,Golden Crescent,TX
WALKER,Gulf Coast,TX
WALLER,South Texas,TX
WARD,South Texas,TX
WASHINGTON,South Texas,TX
WEBB,South Texas,TX
WHARTON,South Texas,TX
WHEELER,South Texas,TX
WICHITA,North Texas,TX
WILBARGER,South Texas,TX
WILLACY,South Texas,TX
WILLIAMSON,Capital,TX
WILSON,South Texas,TX
WINKLER,South Texas,TX
WISE,South Texas,TX
WOOD,South Texas,TX
YOAKUM,South Texas,TX
YOUNG,South Texas,TX
ZAPATA,South Texas,TX
ZAVALA,South Texas,TX
