Calendar Year,County,Juvenile Population,Violent Felony,Other Felony,Misd.,VOP,Status,Other CINS,Referrals,"Referral Rate/1,000",Youth Referred
2014,ARMSTRONG,154,0,0,0,0,0,0,0,0,0
2015,ARMSTRONG,152,0,0,0,0,0,0,0,0,0
2016,ARMSTRONG,152,0,0,0,0,0,0,0,0,0
2017,ARMSTRONG,152,0,0,0,0,0,0,0,0,0
2018,ARMSTRONG,137,0,0,0,0,0,0,0,0,0
2019,ARMSTRONG,144,0,0,0,0,0,0,0,0,0
2020,ARMSTRONG,145,0,0,0,0,0,0,0,0,0
2021,ARMSTRONG,148,0,0,0,0,0,0,0,0,0
2013,ATASCOSA,5390,5,12,54,14,19,0,104,19.29499072,89
2014,ATASCOSA,5372,13,13,71,24,20,3,144,26.80565897,105
2015,ATASCOSA,5355,5,10,76,13,15,1,120,22,91
2016,ATASCOSA,5360,6,17,34,20,12,0,89,16.6,67
2017,ATASCOSA,5351,8,9,38,16,8,0,79,14.76,60
2018,ATASCOSA,5313,7,16,48,14,13,1,99,19,67
2019,ATASCOSA,5228,8,21,52,26,7,0,114,22,68
2020,ATASCOSA,5240,7,10,20,9,5,0,51,10,39
2021,ATASCOSA,5244,12,21,40,8,2,0,83,15.82761251,64
2013,AUSTIN,2977,3,5,44,3,1,7,63,21.16224387,53
2014,AUSTIN,3019,4,13,38,2,1,2,60,19.87413051,47
2015,AUSTIN,2987,3,3,36,4,1,7,54,18,48
2016,AUSTIN,2945,2,5,33,2,1,1,44,14.94,37
2017,AUSTIN,2933,3,13,20,1,7,4,48,16.37,32
2018,AUSTIN,2955,3,6,21,4,12,5,51,17,42
2019,AUSTIN,2943,4,7,23,5,1,2,42,14,33
2020,AUSTIN,2910,2,5,9,3,1,3,23,8,16
2021,AUSTIN,2933,6,12,19,0,3,0,40,13.6379134,36
2013,BAILEY,841,0,9,6,0,0,1,16,19.02497027,15
2014,BAILEY,861,1,3,15,0,0,0,19,22.06736353,19
2015,BAILEY,883,2,2,0,0,0,0,4,5,3
2016,BAILEY,923,1,5,13,0,0,1,20,21.67,17
2017,BAILEY,958,0,8,9,0,0,0,17,17.75,17
2018,BAILEY,950,2,1,8,1,0,1,13,14,13
2019,BAILEY,958,1,9,21,0,0,0,31,32,25
2020,BAILEY,994,0,1,2,0,0,0,3,3,3
2021,BAILEY,1004,0,4,11,0,0,0,15,14.94023904,14
2013,BANDERA,1704,5,11,13,2,19,9,59,34.62441315,48
2014,BANDERA,1663,2,10,15,0,12,2,41,24.65423933,36
2015,BANDERA,1634,1,4,20,1,9,3,38,23,29
2016,BANDERA,1599,2,18,10,5,9,1,45,28.14,32
2017,BANDERA,1597,3,7,28,4,3,1,46,28.8,42
2018,BANDERA,1565,2,22,19,3,2,1,49,31,39
2019,BANDERA,1555,4,7,11,5,1,1,29,19,25
2020,BANDERA,1499,3,4,13,5,6,3,34,23,25
2021,BANDERA,1482,3,7,8,3,2,4,27,18.21862348,21
2013,BASTROP,8406,19,42,124,3,36,3,227,27.00452058,188
2014,BASTROP,8520,14,26,118,11,36,5,210,24.64788732,166
2015,BASTROP,8608,14,25,94,35,49,0,217,25,164
2016,BASTROP,8616,12,18,109,23,23,4,189,21.94,150
2017,BASTROP,8672,24,20,105,7,25,2,183,21.1,144
2018,BASTROP,8717,13,48,91,14,31,7,204,23,159
2019,BASTROP,8746,25,64,77,10,74,5,255,29,177
2020,BASTROP,8690,18,19,34,8,16,0,95,11,78
2021,BASTROP,8631,19,21,50,9,20,1,120,13.90337157,99
2013,BAYLOR,299,0,0,1,0,0,0,1,3.344481605,1
2014,BAYLOR,300,0,1,0,0,0,0,1,3.333333333,1
2015,BAYLOR,303,0,0,3,0,0,1,4,13,4
2016,BAYLOR,310,0,1,0,0,0,0,1,3.23,1
2017,BAYLOR,321,0,0,2,0,0,0,2,6.23,2
2018,BAYLOR,305,0,0,0,0,0,0,0,0,0
2019,BAYLOR,306,0,2,0,0,0,0,2,7,1
2020,BAYLOR,315,0,0,0,0,0,0,0,0,0
2021,BAYLOR,311,0,0,0,0,0,0,0,0,0
2013,BEE,2735,4,12,46,37,4,0,103,37.65996344,72
2014,BEE,2768,6,11,27,27,0,0,71,25.65028902,49
2015,BEE,2770,7,4,38,10,3,0,62,22,55
2016,BEE,2797,1,9,18,16,0,0,44,15.73,35
2017,BEE,2804,3,15,36,5,0,0,59,21.04,41
2018,BEE,2756,10,20,35,5,0,0,70,25,58
2019,BEE,2764,8,8,32,15,0,0,63,23,44
2020,BEE,2735,7,9,9,9,0,0,34,12,29
2021,BEE,2691,7,16,21,1,0,0,45,16.72240803,39
2013,BELL,32686,61,120,496,55,79,14,825,25.24016398,618
2014,BELL,33635,61,99,506,40,54,6,766,22.77389624,577
2015,BELL,34496,57,106,490,44,49,9,755,22,558
2016,BELL,35620,81,177,471,44,47,8,828,23.25,515
2017,BELL,36700,91,151,415,60,12,1,730,19.89,510
2018,BELL,38054,94,129,351,46,2,4,626,16,468
2019,BELL,39330,82,108,357,35,1,3,586,15,488
2020,BELL,40700,59,116,258,33,2,6,474,12,399
2021,BELL,42004,74,81,227,23,1,1,407,9.689553376,316
2013,BEXAR,185189,291,600,3350,848,46,847,5982,32.30213458,4106
2014,BEXAR,186809,301,531,3013,878,52,379,5154,27.58967716,3740
2015,BEXAR,188454,345,493,2671,800,112,244,4665,25,3345
2016,BEXAR,189502,343,434,2482,720,44,22,4045,21.35,3026
2017,BEXAR,190084,384,503,2682,649,28,34,4280,22.52,3162
2018,BEXAR,190569,451,488,2522,705,0,10,4176,22,3086
2019,BEXAR,190663,577,642,2538,499,1,16,4273,22,3103
2020,BEXAR,190196,383,408,1337,284,0,47,2459,13,1828
2021,BEXAR,192094,412,455,1168,267,0,34,2336,12.16071298,1751
2013,BLANCO,977,4,0,1,0,1,1,7,7.164790174,7
2014,BLANCO,976,0,1,10,0,4,0,15,15.36885246,13
2015,BLANCO,933,2,0,2,0,0,0,4,4,4
2016,BLANCO,926,1,3,3,1,2,0,10,10.8,9
2017,BLANCO,898,1,1,5,0,0,1,8,8.91,6
2018,BLANCO,889,2,0,4,0,0,0,6,7,6
2019,BLANCO,859,1,1,1,1,0,0,4,5,4
2020,BLANCO,835,2,0,0,0,0,0,2,2,2
2021,BLANCO,790,1,5,3,0,0,0,9,11.39240506,8
2013,BORDEN,48,0,0,0,0,0,0,0,0,0
2014,BORDEN,48,0,0,0,0,0,0,0,0,0
2015,BORDEN,44,0,0,0,0,0,0,0,0,0
2016,BORDEN,43,0,0,1,0,0,0,1,23.26,1
2017,BORDEN,42,0,0,0,0,0,0,0,0,0
2018,BORDEN,41,0,0,0,0,0,0,0,0,0
2019,BORDEN,43,0,0,0,0,0,0,0,0,0
2020,BORDEN,46,0,0,0,0,0,0,0,0,0
2021,BORDEN,42,0,0,0,0,0,0,0,0,0
2013,BOSQUE,1700,3,11,7,7,1,0,29,17.05882353,22
2014,BOSQUE,1694,0,4,2,1,1,0,8,4.722550177,7
2015,BOSQUE,1700,0,6,0,1,0,0,7,4,7
2016,BOSQUE,1662,0,1,1,0,1,0,3,1.81,3
2017,BOSQUE,1626,0,2,5,0,0,0,7,4.31,5
2018,BOSQUE,1604,6,3,9,0,1,0,19,12,15
2019,BOSQUE,1597,2,6,8,1,1,0,18,11,18
2020,BOSQUE,1552,0,4,11,0,0,0,15,10,14
2021,BOSQUE,1534,1,2,3,0,0,0,6,3.911342894,6
2013,BOWIE,8754,16,38,144,17,0,1,216,24.67443454,168
2014,BOWIE,8744,31,32,145,15,0,0,223,25.5032022,172
2015,BOWIE,8825,16,37,163,21,0,0,237,27,182
2016,BOWIE,8760,21,50,126,6,0,0,203,23.17,162
2017,BOWIE,8790,27,38,115,9,0,0,189,21.5,148
2018,BOWIE,8745,18,24,100,2,1,0,145,17,119
2019,BOWIE,8665,24,29,128,8,0,0,189,22,137
2020,BOWIE,8598,13,31,68,15,0,0,127,15,102
2021,BOWIE,8518,14,36,96,6,2,5,159,18.6663536,130
2013,BRAZORIA,35388,71,105,609,311,72,24,1192,33.6837346,828
2014,BRAZORIA,36252,69,108,565,316,96,25,1179,32.52234359,786
2015,BRAZORIA,36958,65,87,524,346,68,19,1109,30,715
2016,BRAZORIA,37749,83,114,475,264,67,14,1017,26.94,656
2017,BRAZORIA,38358,75,116,415,247,59,13,925,24.11,621
2018,BRAZORIA,38789,75,83,455,242,78,17,950,24,676
2019,BRAZORIA,39341,75,137,481,191,79,25,988,25,685
2020,BRAZORIA,39762,38,75,235,104,22,19,493,12,366
2021,BRAZORIA,40030,39,110,286,122,47,22,626,15.6382713,456
2013,BRAZOS,14900,45,39,335,190,180,52,841,56.44295302,496
2014,BRAZOS,15228,54,40,335,156,196,11,792,52.00945626,511
2015,BRAZOS,15734,89,82,423,179,207,2,982,62,584
2016,BRAZOS,16078,68,64,286,170,127,2,717,44.6,476
2017,BRAZOS,16589,56,35,243,159,119,2,614,37.01,401
2018,BRAZOS,17113,66,39,232,116,77,3,533,31,382
2019,BRAZOS,17520,65,69,227,126,123,6,616,35,409
2020,BRAZOS,17947,44,54,123,56,31,1,309,17,236
2021,BRAZOS,19365,57,115,173,67,26,1,439,22.66976504,307
2013,BREWSTER,743,1,4,6,0,0,0,11,14.80484522,11
2014,BREWSTER,751,2,4,7,0,0,5,18,23.96804261,16
2015,BREWSTER,747,1,3,5,0,0,0,9,12,9
2016,BREWSTER,778,0,7,8,1,0,1,17,21.85,16
2017,BREWSTER,753,1,3,5,2,0,0,11,14.61,10
2018,BREWSTER,738,2,3,10,0,0,0,15,20,13
2019,BREWSTER,725,0,2,4,0,2,0,8,11,8
2020,BREWSTER,738,0,3,1,0,0,0,4,5,4
2021,BREWSTER,737,0,2,1,0,0,0,3,4.070556309,3
2013,BRISCOE,137,0,0,1,0,0,0,1,7.299270073,1
2014,BRISCOE,133,0,1,1,0,0,0,2,15.03759398,2
2015,BRISCOE,143,0,0,1,0,0,0,1,7,1
2016,BRISCOE,134,0,0,1,0,0,0,1,7.46,1
2017,BRISCOE,136,0,0,0,0,0,0,0,0,0
2018,BRISCOE,141,0,0,1,0,0,0,1,7,1
2019,BRISCOE,134,0,0,0,0,0,0,0,0,0
2020,BRISCOE,136,0,2,2,0,0,0,4,29,2
2021,BRISCOE,137,1,0,0,0,0,0,1,7.299270073,1
2013,BROOKS,725,1,9,15,3,0,2,30,41.37931034,25
2014,BROOKS,728,2,3,12,2,0,4,23,31.59340659,19
2015,BROOKS,730,4,6,21,0,0,0,31,42,28
2016,BROOKS,743,1,1,10,2,0,1,15,20.19,14
2017,BROOKS,770,2,7,11,3,1,0,24,31.17,22
2018,BROOKS,787,4,2,16,0,0,2,24,31,21
2019,BROOKS,771,4,7,15,0,0,3,29,38,26
2020,BROOKS,817,1,12,7,0,0,1,21,26,13
2021,BROOKS,827,3,4,10,0,0,0,17,20.55622733,14
2013,BROWN,3675,9,22,66,7,0,3,107,29.11564626,89
2014,BROWN,3668,8,16,51,1,1,0,77,20.99236641,65
2015,BROWN,3645,12,14,45,2,1,1,75,21,63
2016,BROWN,3643,10,23,54,2,1,1,91,24.98,70
2017,BROWN,3652,13,7,78,2,2,3,105,28.75,79
2018,BROWN,3608,7,17,59,2,0,1,86,24,65
2019,BROWN,3596,10,18,37,4,1,2,72,20,58
2020,BROWN,3519,7,19,25,0,0,2,53,15,40
2021,BROWN,3498,10,7,30,0,4,0,51,14.57975986,45
2013,BURLESON,1604,4,8,11,1,2,0,26,16.20947631,24
2014,BURLESON,1621,0,11,17,5,4,2,39,24.0592227,23
2015,BURLESON,1642,2,0,9,4,3,0,18,11,16
2016,BURLESON,1656,6,1,15,1,0,0,23,13.89,20
2017,BURLESON,1670,5,4,3,2,6,0,20,11.98,12
2018,BURLESON,1691,3,11,8,1,0,0,23,14,20
2019,BURLESON,1678,4,5,9,1,0,0,19,11,18
2020,BURLESON,1695,1,3,6,2,0,0,12,7,10
2021,BURLESON,1656,2,7,9,2,0,0,20,12.07729469,19
2013,BURNET,4179,8,19,60,11,20,2,120,28.71500359,95
2014,BURNET,4192,8,15,65,10,18,0,116,27.67175573,101
2015,BURNET,4205,10,8,58,7,24,8,115,27,95
2016,BURNET,4157,8,18,65,8,16,8,123,29.59,98
2017,BURNET,4109,9,7,49,9,5,7,86,20.93,72
2018,BURNET,4081,13,8,35,11,6,0,73,18,66
2019,BURNET,3991,10,20,44,10,7,15,106,27,88
2020,BURNET,3931,4,15,24,6,8,5,62,16,55
2021,BURNET,3890,5,28,30,3,8,9,83,21.33676093,71
2013,CALDWELL,3976,11,22,88,67,0,1,189,47.53521127,110
2014,CALDWELL,3972,14,14,62,50,4,1,145,36.50553877,100
2015,CALDWELL,4054,10,26,81,56,0,2,175,43,111
2016,CALDWELL,4101,12,17,72,52,5,0,158,38.53,115
2017,CALDWELL,4094,20,33,81,40,2,0,176,42.99,126
2018,CALDWELL,4155,15,19,88,39,1,0,162,39,107
2019,CALDWELL,4155,13,40,73,32,3,2,163,39,113
2020,CALDWELL,4141,12,25,59,16,2,0,114,28,89
2021,CALDWELL,4118,10,23,60,24,3,0,120,29.1403594,94
2013,CALHOUN,2251,8,21,54,18,0,0,101,44.86894713,66
2014,CALHOUN,2261,4,13,57,15,3,0,92,40.68996019,68
2015,CALHOUN,2256,9,24,71,19,1,0,124,55,93
2016,CALHOUN,2267,7,17,52,19,0,0,95,41.91,72
2017,CALHOUN,2267,3,11,45,11,0,0,70,30.88,57
2018,CALHOUN,2309,7,4,43,15,0,0,69,30,48
2019,CALHOUN,2313,8,12,26,12,0,0,58,25,52
2020,CALHOUN,2335,3,4,8,12,0,0,27,12,24
2021,CALHOUN,2311,4,5,21,11,0,0,41,17.74123756,35
2013,CALLAHAN,1367,1,7,5,1,1,2,17,12.43599122,13
2014,CALLAHAN,1384,3,5,12,0,0,0,20,14.45086705,18
2015,CALLAHAN,1368,1,4,6,2,0,0,13,10,12
2016,CALLAHAN,1345,2,5,8,0,0,0,15,11.15,11
2017,CALLAHAN,1355,3,5,6,3,0,1,18,13.28,14
2018,CALLAHAN,1329,2,4,16,2,0,0,24,18,20
2019,CALLAHAN,1263,4,10,11,1,0,0,26,21,22
2020,CALLAHAN,1250,1,4,0,2,0,0,7,6,5
2021,CALLAHAN,1207,2,2,5,1,0,0,10,8.285004143,8
2013,CAMERON,54864,150,247,664,255,137,3,1456,26.53834937,1076
2014,CAMERON,55379,160,333,1021,289,356,25,2184,39.43733184,1465
2015,CAMERON,55664,174,259,898,277,329,6,1943,35,1296
2016,CAMERON,55555,167,274,787,237,288,3,1756,31.61,1201
2017,CAMERON,55030,139,210,649,237,265,2,1502,27.29,1046
2018,CAMERON,54433,119,233,622,218,190,2,1384,25,1049
2019,CAMERON,53512,119,341,637,166,166,6,1435,27,1084
2020,CAMERON,52965,72,140,298,78,91,0,679,13,558
2021,CAMERON,53594,77,214,253,64,108,0,716,13.35970444,556
2013,CAMP,1350,0,3,20,1,0,0,24,17.77777778,19
2014,CAMP,1366,2,5,20,1,0,0,28,20.49780381,22
2015,CAMP,1369,5,13,7,0,0,0,25,18,21
2016,CAMP,1354,2,3,12,0,0,3,20,14.77,18
2017,CAMP,1362,1,10,6,0,0,1,18,13.22,13
2018,CAMP,1377,2,2,4,1,0,0,9,7,7
2019,CAMP,1360,2,2,5,0,1,0,10,7,9
2020,CAMP,1359,2,2,1,1,0,0,6,4,6
2021,CAMP,1323,0,2,4,0,0,0,6,4.535147392,5
2013,CARSON,657,1,1,3,0,0,0,5,7.610350076,5
2014,CARSON,641,1,1,1,0,2,0,5,7.800312012,4
2015,CARSON,642,1,0,1,0,0,0,2,3,2
2016,CARSON,633,0,0,14,0,0,1,15,23.7,13
2017,CARSON,628,0,0,5,0,0,0,5,7.96,5
2018,CARSON,602,0,0,7,0,0,0,7,12,7
2019,CARSON,596,1,2,1,0,0,0,4,7,4
2020,CARSON,560,2,3,3,0,0,1,9,16,9
2021,CARSON,529,0,1,0,0,2,0,3,5.671077505,3
2013,CASS,2824,1,7,15,2,0,1,26,9.206798867,22
2014,CASS,2812,6,8,9,1,0,0,24,8.53485064,19
2015,CASS,2799,4,5,18,0,0,0,27,10,25
2016,CASS,2772,4,5,18,0,0,0,27,9.74,26
2017,CASS,2726,8,11,8,0,0,0,27,9.9,25
2018,CASS,2720,2,5,6,0,0,0,13,5,11
2019,CASS,2686,6,4,12,0,0,0,22,8,21
2020,CASS,2679,3,7,5,0,0,0,15,6,15
2021,CASS,2643,5,10,7,1,0,0,23,8.702232312,23
2013,CASTRO,991,0,3,17,0,0,0,20,20.18163471,19
2014,CASTRO,1000,0,1,10,1,0,0,12,12,12
2015,CASTRO,983,0,1,0,0,0,0,1,1,1
2016,CASTRO,982,0,3,3,0,0,0,6,6.11,5
2017,CASTRO,991,0,3,2,0,0,0,5,5.05,5
2018,CASTRO,961,0,0,0,0,0,0,0,0,0
2019,CASTRO,982,0,0,0,0,0,0,0,0,0
2020,CASTRO,993,0,0,1,0,0,0,1,1,1
2021,CASTRO,959,0,1,1,0,0,0,2,2.085505735,1
2013,CHAMBERS,4393,5,3,19,0,0,1,28,6.373776463,27
2014,CHAMBERS,4451,5,2,7,0,0,0,14,3.145360593,14
2015,CHAMBERS,4432,2,5,12,0,0,0,19,4,19
2016,CHAMBERS,4444,4,3,7,0,0,0,14,3.15,14
2017,CHAMBERS,4380,4,8,7,0,0,0,19,4.34,18
2018,CHAMBERS,4302,4,4,11,0,0,0,19,4,19
2019,CHAMBERS,4304,4,4,1,0,0,0,9,2,9
2020,CHAMBERS,4268,4,5,4,0,0,0,13,3,13
2021,CHAMBERS,4207,6,12,31,0,0,1,50,11.88495365,49
2013,CHEROKEE,5287,7,14,63,10,9,7,110,20.80574995,93
2014,CHEROKEE,5326,15,13,58,4,2,3,95,17.83702591,79
2015,CHEROKEE,5393,10,11,62,7,0,1,91,17,75
2016,CHEROKEE,5417,15,24,40,8,0,1,88,16.25,75
2017,CHEROKEE,5405,9,12,28,8,0,0,57,10.55,48
2018,CHEROKEE,5368,14,11,32,3,0,0,60,11,53
2019,CHEROKEE,5399,10,12,33,2,0,0,57,11,49
2020,CHEROKEE,5375,4,5,23,2,0,1,35,7,34
2021,CHEROKEE,5383,5,21,23,3,0,0,52,9.660040869,50
2013,CHILDRESS,605,4,6,7,3,0,0,20,33.05785124,16
2014,CHILDRESS,580,2,10,5,4,1,1,23,39.65517241,19
2015,CHILDRESS,578,2,6,4,2,2,0,16,28,15
2016,CHILDRESS,582,3,4,6,1,0,3,17,29.21,17
2017,CHILDRESS,573,0,10,5,2,0,0,17,29.67,13
2018,CHILDRESS,589,3,4,8,2,0,0,17,29,14
2019,CHILDRESS,584,2,4,8,1,0,0,15,26,13
2020,CHILDRESS,583,3,2,2,0,0,0,7,12,6
2021,CHILDRESS,592,2,6,20,1,0,0,29,48.98648649,22
2013,CLAY,975,2,2,3,0,0,0,7,7.179487179,5
2014,CLAY,939,1,1,2,3,0,0,7,7.454739084,5
2015,CLAY,931,1,3,5,0,0,0,9,10,9
2016,CLAY,923,1,0,6,0,0,0,7,7.58,7
2017,CLAY,904,3,2,2,1,0,0,8,8.85,8
2018,CLAY,901,0,4,4,0,0,0,8,9,8
2019,CLAY,915,3,1,5,0,0,0,9,10,8
2020,CLAY,918,1,0,1,1,0,0,3,3,3
2021,CLAY,900,0,3,2,0,0,0,5,5.555555556,5
2013,COCHRAN,337,0,0,2,1,1,3,7,20.77151335,5
2014,COCHRAN,337,1,0,4,2,0,1,8,23.7388724,7
2015,COCHRAN,347,1,1,4,1,0,0,7,20,7
2016,COCHRAN,331,2,0,7,2,0,0,11,33.23,8
2017,COCHRAN,344,0,8,2,0,0,1,11,31.98,11
2018,COCHRAN,352,7,1,7,0,0,0,15,43,14
2019,COCHRAN,359,0,0,1,0,0,0,1,3,1
2020,COCHRAN,348,1,5,1,0,0,0,7,20,6
2021,COCHRAN,342,0,0,0,1,0,0,1,2.923976608,1
2013,COKE,305,0,3,10,0,0,0,13,42.62295082,13
2014,COKE,290,0,1,4,0,0,0,5,17.24137931,3
2015,COKE,277,0,3,4,1,0,0,8,29,8
2016,COKE,277,1,2,2,0,0,0,5,18.05,5
2017,COKE,261,1,3,3,1,1,0,9,34.48,7
2018,COKE,246,2,0,1,0,0,0,3,12,3
2019,COKE,226,1,0,2,0,0,0,3,13,3
2020,COKE,219,0,4,5,0,0,0,9,41,8
2021,COKE,218,1,0,1,0,1,1,4,18.34862385,4
2013,COLEMAN,812,0,5,5,2,0,5,17,20.93596059,13
2014,COLEMAN,810,1,4,6,0,0,2,13,16.04938272,12
2015,COLEMAN,812,0,0,5,0,0,0,5,6,4
2016,COLEMAN,757,0,1,2,0,0,0,3,3.96,3
2017,COLEMAN,765,3,1,1,0,0,0,5,6.54,5
2018,COLEMAN,761,1,3,2,1,0,0,7,9,5
2019,COLEMAN,755,2,2,10,3,0,0,17,23,17
2020,COLEMAN,740,2,2,3,0,0,0,7,9,7
2021,COLEMAN,727,1,0,2,0,0,0,3,4.126547455,3
2013,COLLIN,97793,85,134,1022,293,126,14,1674,17.11778962,1136
2014,COLLIN,100698,86,121,789,321,115,11,1443,14.32997676,964
2015,COLLIN,103112,98,127,698,318,115,31,1387,13,909
2016,COLLIN,104793,89,141,590,369,84,12,1285,12.26,791
2017,COLLIN,105136,137,177,649,325,93,12,1393,13.25,854
2018,COLLIN,105381,158,209,650,322,63,19,1421,13,968
2019,COLLIN,104915,155,255,610,327,66,10,1423,14,934
2020,COLLIN,103810,117,224,446,165,60,13,1025,10,677
2021,COLLIN,102195,136,267,529,143,60,18,1153,11.28235237,801
2013,COLLINGSWORTH,319,0,0,2,0,0,0,2,6.269592476,2
2014,COLLINGSWORTH,298,0,1,3,0,0,0,4,13.42281879,4
2015,COLLINGSWORTH,302,1,0,0,0,0,0,1,3,1
2016,COLLINGSWORTH,310,0,0,2,0,0,0,2,6.45,2
2017,COLLINGSWORTH,323,0,0,0,0,0,0,0,0,0
2018,COLLINGSWORTH,326,0,0,0,0,0,0,0,0,0
2019,COLLINGSWORTH,327,0,0,1,0,0,0,1,3,1
2020,COLLINGSWORTH,343,1,0,0,0,0,0,1,3,1
2021,COLLINGSWORTH,349,2,0,1,0,0,0,3,8.595988539,2
2013,COLORADO,1974,1,5,22,5,2,0,35,17.73049645,27
2014,COLORADO,1945,5,2,11,9,0,0,27,13.88174807,22
2015,COLORADO,1908,1,9,14,6,0,1,31,16,24
2016,COLORADO,1893,4,3,13,1,0,0,21,11.09,18
2017,COLORADO,1880,3,10,14,5,0,0,32,17.02,20
2018,COLORADO,1864,4,9,16,4,0,0,33,18,27
2019,COLORADO,1863,1,16,11,2,0,0,30,16,25
2020,COLORADO,1882,6,4,8,0,0,0,18,10,15
2021,COLORADO,1880,1,10,14,6,0,0,31,16.4893617,16
2013,COMAL,11264,12,33,104,39,25,2,215,19.08735795,166
2014,COMAL,11354,16,33,113,34,25,0,221,19.4645059,170
2015,COMAL,11363,15,23,90,31,30,0,189,17,149
2016,COMAL,11398,19,32,98,19,15,1,184,16.14,165
2017,COMAL,11224,27,30,154,13,13,0,237,21.12,211
2018,COMAL,11048,20,35,158,18,5,1,237,21,209
2019,COMAL,10960,25,92,142,16,7,0,282,26,245
2020,COMAL,10676,17,65,69,9,6,0,166,16,142
2021,COMAL,10514,25,102,82,18,3,0,230,21.87559445,197
2013,COMANCHE,1306,0,1,7,1,0,3,12,9.188361409,11
2014,COMANCHE,1289,1,14,12,1,2,1,31,24.04965089,28
2015,COMANCHE,1274,0,9,9,5,0,0,23,18,21
2016,COMANCHE,1241,5,5,1,3,0,0,14,11.28,12
2017,COMANCHE,1243,3,9,15,5,0,0,32,25.74,26
2018,COMANCHE,1268,3,3,11,5,0,0,22,17,15
2019,COMANCHE,1284,2,9,10,4,0,1,26,20,22
2020,COMANCHE,1318,2,4,11,0,0,0,17,13,17
2021,COMANCHE,1332,4,5,7,2,0,0,18,13.51351351,18
2013,CONCHO,224,0,1,0,0,0,0,1,4.464285714,1
2014,CONCHO,222,1,1,1,0,0,0,3,13.51351351,3
2015,CONCHO,241,0,0,1,0,0,1,2,8,1
2016,CONCHO,227,0,2,1,0,0,0,3,13.22,3
2017,CONCHO,224,0,0,1,0,0,0,1,4.46,1
2018,CONCHO,238,0,0,3,0,0,0,3,13,3
2019,CONCHO,244,0,3,1,0,0,0,4,16,4
2020,CONCHO,233,3,0,0,0,0,0,3,13,3
2021,CONCHO,234,1,2,0,0,0,0,3,12.82051282,3
2013,COOKE,3776,4,16,43,6,0,0,69,18.27330508,53
2014,COOKE,3755,15,14,35,9,0,0,73,19.44074567,60
